Date,Store_Id,Item,Product,Day_Of_Week,Month,Price,Weather,Promotion,Stock_Level,Forecast,Std_Dev,Lower_Bound,Upper_Bound,Forecast_Generated,Days_In_Future
2025-08-04,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,0,8,7.99,Normal,0,0,1.8885825,0.4438168799877167,1.0187013832569123,2.7584635528087613,2025-08-06 14:12:21.773228,27
2025-08-05,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,1,8,7.99,Normal,0,0,1.8876135,0.4530272483825684,0.999680128097534,2.7755469417572023,2025-08-06 14:12:21.773228,28
2025-08-06,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,2,8,7.99,Normal,0,0,1.8902173,0.4631032395362854,0.982534954738617,2.797899653720856,2025-08-06 14:12:21.773228,29
2025-08-07,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,3,8,7.99,Normal,0,0,1.8931236,0.4732809066772461,0.965493049621582,2.820754203796387,2025-08-06 14:12:21.773228,30
2025-07-09,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,2,7,7.99,Normal,0,0,1.4718113,0.15454018592834473,1.1689125301361085,1.7747100589752196,2025-08-06 14:12:21.773228,1
2025-07-10,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,3,7,7.99,Normal,0,0,1.4728286,0.16201114892959595,1.1552867747306823,1.7903704785346986,2025-08-06 14:12:21.773228,2
2025-07-11,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,4,7,7.99,Normal,0,0,1.4695938,0.16900328278541565,1.1383473290920256,1.8008401976108552,2025-08-06 14:12:21.773228,3
2025-07-12,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,5,7,7.99,Normal,0,0,1.4613891,0.17536668777465822,1.1176703567504882,1.8051077728271485,2025-08-06 14:12:21.773228,4
2025-07-13,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,6,7,7.99,Normal,0,0,1.4614133,0.18267665803432465,1.1033670145273209,1.8194595140218734,2025-08-06 14:12:21.773228,5
2025-07-14,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,0,7,7.99,Normal,0,0,1.4663858,0.19063015937805178,1.0927507289886473,1.8400209537506105,2025-08-06 14:12:21.773228,6
2025-07-15,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,1,7,7.99,Normal,0,0,1.4711304,0.19860260009765626,1.0818692749023437,1.8603914672851563,2025-08-06 14:12:21.773228,7
2025-07-16,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,2,7,7.99,Normal,0,0,1.4751248,0.20651747703552248,1.0703505809783935,1.8798990909576416,2025-08-06 14:12:21.773228,8
2025-07-17,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,3,7,7.99,Normal,0,0,1.475189,0.21390240073204042,1.0559402651309968,1.894437676000595,2025-08-06 14:12:21.773228,9
2025-07-18,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,4,7,7.99,Normal,0,0,1.4697409,0.22046113014221194,1.0376370525360108,1.9018446826934814,2025-08-06 14:12:21.773228,10
2025-07-19,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,5,7,7.99,Normal,0,0,1.4635383,0.22684843480587005,1.0189153568506242,1.9081612212896346,2025-08-06 14:12:21.773228,11
2025-07-20,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,6,7,7.99,Normal,0,0,1.4637865,0.23420583724975585,1.0047430418014527,1.9228299238204956,2025-08-06 14:12:21.773228,12
2025-07-21,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,0,7,7.99,Normal,0,0,1.4683948,0.24228513479232788,0.993515892124176,1.9432736205101013,2025-08-06 14:12:21.773228,13
2025-07-22,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,1,7,7.99,Normal,0,0,1.4733821,0.2504749596118927,0.982451194524765,1.9643130362033845,2025-08-06 14:12:21.773228,14
2025-07-23,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,2,7,7.99,Normal,0,0,1.478698,0.2587721526622772,0.9715045959949494,1.985891434431076,2025-08-06 14:12:21.773228,15
2025-07-24,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,3,7,7.99,Normal,0,0,1.481302,0.2666343641281128,0.9586986692428588,2.003905376625061,2025-08-06 14:12:21.773228,16
2025-07-25,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,4,7,7.99,Normal,0,0,1.4749464,0.2728650802373886,0.9401308223962784,2.0097619369268416,2025-08-06 14:12:21.773228,17
2025-07-26,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,5,7,7.99,Normal,0,0,1.4631976,0.2780075418949127,0.9183028068065643,2.008092371034622,2025-08-06 14:12:21.773228,18
2025-07-27,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,6,7,7.99,Normal,0,0,1.4642993,0.2855383676290512,0.9046441206216812,2.023954521727562,2025-08-06 14:12:21.773228,19
2025-07-28,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,0,7,7.99,Normal,0,0,1.4658446,0.2931689262390137,0.8912335357666016,2.0404557266235352,2025-08-06 14:12:21.773228,20
2025-07-29,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,1,7,7.99,Normal,0,0,1.4708673,0.3015277916193009,0.8798728046178818,2.061861747765541,2025-08-06 14:12:21.773228,21
2025-07-30,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,2,7,7.99,Normal,0,0,1.4725069,0.3092264449596405,0.8664230486392974,2.0785907128810885,2025-08-06 14:12:21.773228,22
2025-07-31,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,3,7,7.99,Normal,0,0,1.4711833,0.3163044095039368,0.8512266573905944,2.0911399426460267,2025-08-06 14:12:21.773228,23
2025-08-01,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,4,8,7.99,Normal,0,0,1.4643629,0.3221598291397095,0.8329295946121216,2.095796124839783,2025-08-06 14:12:21.773228,24
2025-08-02,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,5,8,7.99,Normal,0,0,1.4594557,0.3283775389194489,0.815835752248764,2.1030757048130035,2025-08-06 14:12:21.773228,25
2025-08-03,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,6,8,7.99,Normal,0,0,1.4594152,0.33566549539566043,0.801510826396942,2.117319568347931,2025-08-06 14:12:21.773228,26
2025-08-04,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,0,8,7.99,Normal,0,0,1.4642886,0.34410781919956207,0.7898372667074204,2.1387399179697035,2025-08-06 14:12:21.773228,27
2025-08-05,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,1,8,7.99,Normal,0,0,1.4692346,0.3526163005828858,0.7781066366195678,2.16036253490448,2025-08-06 14:12:21.773228,28
2025-08-06,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,2,8,7.99,Normal,0,0,1.4733671,0.36097493827342986,0.7658562159776688,2.1808779740095137,2025-08-06 14:12:21.773228,29
2025-08-07,104.0,3913116856.0,BELLATORIA GAR CHKN ALFR PIZZA,3,8,7.99,Normal,0,0,1.4729168,0.3682292103767395,0.7511875891685486,2.1946460938453676,2025-08-06 14:12:21.773228,30
2025-07-09,104.0,3913116891.0,BELLATORIA SAUS ITALIA PIZZA,2,7,7.99,Normal,0,0,1.7204953,0.18065201103687287,1.3664174015760422,2.074573284840584,2025-08-06 14:12:21.773228,1
2025-07-10,104.0,3913116891.0,BELLATORIA SAUS ITALIA PIZZA,3,7,7.99,Normal,0,0,1.7200778,0.18920855283737184,1.3492289895057679,2.0909265166282656,2025-08-06 14:12:21.773228,2
2025-07-11,104.0,3913116891.0,BELLATORIA SAUS ITALIA PIZZA,4,7,7.99,Normal,0,0,1.7198646,0.19778442978858948,1.3322071244716645,2.107522089242935,2025-08-06 14:12:21.773228,3
2025-07-12,104.0,3913116891.0,BELLATORIA SAUS ITALIA PIZZA,5,7,7.99,Normal,0,0,1.72003,0.20640359401702882,1.3154789058685303,2.1245809944152834,2025-08-06 14:12:21.773228,4
